text	date	source	is_facist
Flying of Confederate flags in Belfast branded 'pathetic' - BelfastTelegraph.co.uk    Whilst the cosmopolitan left decry the display of the Confederate flag here in Ulster, a gesture of solidarity with our kith & kin in the CSA, there is no such criticism of the display of Israeli, Hamas, PFLP or global left paraphanilia...,	2018-07-01 14:53:00+00:00	Stormfront.org	0
My paternal grandmother had 14 kids, 7 boys and 7 girls, all 14 born in Cali.  All the girls learned to speak Portuguese, the boys did not.  Strange.    A few years ago 23andMe had me 38% Luso-American.  Checking last week I'm down to 29%.  But I still love linguica.       Portuguese = plural.  Portagoose = singular.	2020-02-01 08:27:00+00:00	Stormfront.org	0
"What could you do with $5?    Head over to the local McDonald's and buy a cholesterol-laden Quarter Pounder with Cheese Extra Value Meal?    Visit that trendy Starbucks for a large Caramel Frappuccino or Skinny Peppermint Mocha served with the obligatory side order of White Guilt?    Or would you rather use that $5 to help the White race? Yes, that's right. For just $5 per month you can become a  Sustaining Member  at Stormfront, the largest and most influential White Nationalist site in the world.    Stormfront depends upon donations to keep both the website and Stormfront Radio operating and spreading the vital message of ""White Pride World Wide."" Stormfront is where all the White tribes gather. All of the globe's White nations congregate here. Racially aware Whites representing a broad spectrum of differing political views, philosophies and religions are proud  Stormfronters. No other White Nationalist website boasts Stormfront's depth and variety.    Stormfront shines a beacon of free speech amid a dark world that increasingly censors White expression. Our welcoming page declares: We are the voice of the new, embattled White minority!    We turn to Stormfront for news and information about our race's plight. Stormfront gives us the camaraderie of our racial kindred and a place to vent in these troubled times.    You won't be turned away from Stormfront if you're struggling financially and can't donate.  But those who can afford just $5 per month are urged to make a donation today and become a Sustaining Member.  Your contribution does much more than keep Stormfront alive. Your donation is a tangible act that helps your racial brothers and sisters grow bolder, stronger and more knowledgeable.    Let's march toward a White future. Thank you for your generosity."	2019-04-14 15:56:00+00:00	Stormfront.org	0
I have a very strong Libertarian streak, but disagree STRONGLY with them about open borders. I know other Libertarians who share my view.    You cannot have open borders with a welfare state. I used that line in a troll question at a talk today and it was a mic drop. It is supposed to be on C-Span. I will post it when I find it (told it would take at least 12 hours to be on line).	2019-10-02 01:33:00+00:00	Stormfront.org	0
"I know a handful of black women who really have it together (employment, appearance, hygiene). They are Negroes, but for whatever reason, have chosen to go against their nature. They are outliers, statistically insignificant, still possessing the genetics that make every other Negro insufferable and useless (so their children are extremely likely to turn out, well, black). Most of them are married to non-black men. Actually, I think every married black woman I've ever met was married to a non-black man. There weren't many, but it says a lot about both sexes of Negroes. I no longer believe that they can ""just change if they try hard enough and collectively decide to"", this is something deeply embedded in their DNA. The only ones that live in a way that is acceptable by white standards run from their communities."	2020-05-06 09:28:00+00:00	Stormfront.org	0
I don't know if that figure is correct but let us assume it is (though I severely doubt it). That means that 10% of Ontario is too black.	2020-07-26 07:36:00+00:00	Stormfront.org	0
Unless you are identifying them as god's self-chosen ones, they don't like to be outted as Jews. Jews fight tooth and nail not to be identified as Jews in the census. Yellow Stars and by way of deception, I suppose.	2019-05-26 13:59:00+00:00	Stormfront.org	0
Another user said: Catholicism is pretty strong and kinda based in Slovakia and Poland,probably Hungary too.  No, it's Slovaks and Poles who are based. But Catholicism is rotten and the highest clergy are all atheist conmen. There will be no coming back from this. It's a shame, but that's the reality of the situation. Another user said: My friend, if I believe that fascism will one day take over the world, thenit isn't madness to believe that traditional catholicism will once againbecome the norm for catholics.  Fascism isn't an institution, though, so it is really not comparable at all.	2016-04-04 23:39:07+00:00	Iron March Posts	0
A simple google search tells me that ancient people in Persia, India and Europe preformed c sections all more than 2000 years ago and those accounts are more detailed and have more information available than the chimps  in the 1800s performing them lmao. Evan Wesley needs a serious re alignment.	2019-02-18 21:22:00+00:00	Stormfront.org	0
Another user said: It's ridiculous to make the claim that a people with a less than impressivecivilization and no written language could possibly be synonymous with thecomplexities and intricacies of the Roman faith.  I find this comment extremely gay. Are you into Evolution or what? Civilization, just like technology is a sign of both the will for understanding _and the lack of it;_ a turn from the inner to the outer world; the changing from direct to indirect, from organic to mechanic etc. This whole phenomenon we call society is one big displacement activity we engage in since we forgot about Truth but desperately want to have it (most people only on an unconscious level of course). Don't misunderstand me, I am not against civilization fundamentally (fucking despise Tribalists) for that's the only thing we can use now, but measuring things by that is a typical faggotry of modern Westerners. Another user said: The Pygmy in Africa probably have a great understanding of the divine aswell.  There are levels both above and beneath Civilization, and even if we are talking about the latter here, they are more or less in the place where they should be while we aren't; and don't forget that in the process of Involution lesser castes are more likely to hold their original position in the Creation, whether they know about this or not (the story of how the aristocrats became more and more degenerate in the past centuries while the peasants were busy working in a nutshell).	2017-04-11 12:42:49+00:00	Iron March Posts	0
I'm in, but, then again, I've boycotted HymieWood for decades.    I'm thinking Trading Places might be the last one I saw in the theatre	2018-05-23 17:47:00+00:00	Stormfront.org	0
"Get a discrete body cam or use your cell phone to record often.   A worthwhile investment, especially in legal matters.  You cannot dispute cold hard evidence.  Anything else can be argued.  Don't worry about what can be argued about doing hidden recordings, that can be fought out by a really good lawyer.           Years ago here in FL, I remember some kid winning against a company just because of his hair!  I guess it was long, I can't remember.  Anyway, the kid had a recorder:  ""So let me get this straight, the only reason you are not hiring me is because of my hair?""  The guy said yes, and BAM!  done.          Whites should be doing this all over.  record. document.  Find the best lawyer available and let them work on making it work for your case."	2019-10-31 14:43:00+00:00	Stormfront.org	0
Not only do we have cross border disease... we have to worry about rapes...    Our traitorous leaders have to leave.    They've been lying and have been wrong all along!!        ...	2020-03-07 14:07:00+00:00	Stormfront.org	0
"Wait, you forgot ""Mr. Ed."" Clearly intended to promote equine superiority.           Let's not push analogies to the extreme. It only makes us look even more bizarre in the eyes of the general public, if that's even possible. Not all of us object to women being portrayed as real human beings, as opposed to brood mares and mute domestic servants who live at the whim of their masters. Now, has the agenda of demeaning and demoting the White male been carried too far? Of course. But what hasn't been? This world is now a lunatic asylum with the inmates in charge.    Head for the exits... if you can."	2018-08-24 04:57:00+00:00	Stormfront.org	0
Yes, he is a Romanian, and expressed interest in converting to Orthodoxy,and it seems he has according to OP. I am also puzzled by the Shia aspect, but Bektashis are sometimes describedas both Shia and Sunni, and the Bektashi lodges offered refuge to Shiasfleeing persecution from the Ottoman state.  Well, Hac Bekta Veli was not a Shia as far as I'm concerned, I never heard him being praised by Shias either in Iraq, Bahrain or Iran.  Similarly, none of the Arab Alawites, Kurdish Alawites, or their kin in Iraq, Ahl-e Haqq or Yazidi recognize him as their Pir.	2015-08-22 21:28:05+00:00	Iron March Posts	0
"Oh you can bet any money the ""refugee"" will be carefully hand picked. He certainly won't be adapting a 20-40 year old fit & healthy male, who may have been involved with ISIS."	2020-09-06 04:46:00+00:00	Stormfront.org	0
We certainly can get the idea that Cloudflare is censoring our posts about Jews and stops them from posting. But it may have something to do with the SF board which malfunctions after all.    After many attempts at posting and being forced to give up I discovered that when I  removed the quote tags from quoted text and added the source of the text at  the end, the posts that I wanted to make did post.     This did not happen with all text inside quote tags, only with some of it. In other words, some quotes post without problems, others refuse to post.           Jews have driven us to near paranoia!	2019-09-29 14:22:00+00:00	Stormfront.org	0
Our greatest enemy is the media.    Until the media is destroyed and we have a media that reports the truth and the facts, no progress can be made.    The corruption that occurs at all levels of government and judiciary can only exist with the support of the corrupt media.    I look forward to the day the media whores and their handlers are hanging from the gallows.	2020-09-01 06:25:00+00:00	Stormfront.org	0
"(CNN)The  death of George Floyd is leading to the removal -- by protesters in  some cases and city leaders in others -- of contentious statues that  have riled some residents for decades, if not longer.     Floyd, a 46-year-old black man ,  died on May 25 in Minneapolis. While being arrested, Floyd was held  down by a Minneapolis police officer's knee for more than eight minutes.  He was pronounced dead shortly after. His death, which was captured on  video, sparked widespread protests across the US, with people calling  for an end to police brutality against people of color.   Controversial monuments, especially Confederate monuments, have been the subject of nationwide debate, particularly since  Dylann Roof killed nine African Americans in a Charleston, South Carolina, church in 2015  in an effort to ""start a race war.""  And it flared up again after white nationalists marched in 2017 to protest the removal of a Robert E. Lee statue in  Charlottesville, Virginia , where a counterprotester was killed amid violent clashes between demonstrators.  Some  say they mark history and honor heritage. Others argue they are racist  symbols of America's dark legacy of slavery. While some cities have  already made efforts to remove them, others  have passed laws to protect them.  Here's a look at some of the monuments that have been removed over the last few weeks.   Source"	2020-06-10 13:33:00+00:00	Stormfront.org	0
The designer of the monument is an African, and he was chosen to be the public face of the project because of his ethnicity.  As we all know, the various strands of White guilt are interwoven....for the purpose of guilting Whites into accepting third worlders as the new majority in their ancestral homelands.	2019-08-11 00:45:00+00:00	Stormfront.org	0
"Another user said: Financial Capitalism Does not necessarily resist modernism Describing yourself as Deadpool Wew lad, lurk more  You are right that ""Financial Capitalism"" implies some shit that don't fit with the values. I'll be happy to debate about it when the time comes.  As for modernism, if there is one thing I learned in biology, is that you must adapt to win. Many heroes of history adapted to their enemies. That also means for me that I have all the tools available in front of me to fight, including some from modernism.  And if you say that, you don't really know what fuels Deadpool. And no I can't explain it in words."	2017-04-03 23:06:11+00:00	Iron March Posts	0
Maybe he was going to make a large kebab?  Probably has a very low IQ. No incentive for a black man to get on and change his name by Deed Poll. If you were unfortunate to have a family name like Pongo, and be black, you're likely to be an object of ridicule. Don't know how the Judge could keep a straight face!	2019-05-03 10:14:00+00:00	Stormfront.org	0
North Korea confirms to White House that it is willing to talk about denuclearization, administration officials say      By David Nakamura - The Washington Post - Sunday, April 8, 2018         [More In Article]     Article:  North Korea confirms to White House that it is willing to talk about denuclearization, administration officials say	2018-04-08 14:08:00+00:00	Stormfront.org	0
Like dogs, the crazy homeless will need people following them around picking up the poop, so I suggest that Mayor Breed and Nany Pelosi, who have failed to solve the problem and who are being paid by the public, should be required to roam the streets of San Francisco and be required to pick up needles and poop.	2018-07-20 13:13:00+00:00	Stormfront.org	0
Wishful thinking if you guys believe Trump is going to be a catalyst for a race war. The guy's an instigator but the system is so inbred in people's lives that the situation will have to get a lot more dire before anything substantial emerges.	2016-03-13 19:18:36+00:00	Iron March Posts	0
"Of course, all of this talk of a ""shutdown"" is B.S.  Whoever uses the term is misleading the public.    70% or more of the federal government is already funded through the end of FY19.  Of the remaining 30% approximately half will be designated as ""essential employees"" so will not be 'furloughed.'  The remaining 15% will just get a paid vacation.  They will be retroactively paid when the ""shutdown"" is over.    All entitlement checks will go out.  All essential functions will continue.  The parks may shutdown but the impact will be minimal at best."	2018-12-12 20:04:00+00:00	Stormfront.org	0
Squeezing into the gap between a truck and a drag that's been brought to a temporary stop by violent demonstrators, it takes a special kind of stupid to get yourself killed that way, I expect that he was trying to unhitch the trailer so that he and his fellow thieves could steal the contents, that didn't go well.	2020-05-31 01:04:00+00:00	Stormfront.org	0
It is pathetic to read so many commenters at the Guardian etc. saying Johnson is 'hard right' or he's leading a 'far right coup'.  But so many people believe this nonsense.  We've got insanely high levels of immigration, criminally high, it's destroying our homeland, and this fool or traitor, wants to sharply increase it.  It's just not acceptable and yes he is a RAT.	2019-09-11 09:23:00+00:00	Stormfront.org	0
He got a free defence council thrown in and the judge could see this bum was a victim, unlike the tax-payer. If he was on the dole, how did he get a mortgage for his flat?	2018-08-23 22:17:00+00:00	Stormfront.org	0
Not true. Every major advance in mankind in the past 3000 years is the product of a Aryan mind, and definitely NOT a jewish one. The proof of the pudding is in the eating. Simple.     Jews are the top of the pile where lying and deception are concerned. And at bullshi1, they are the world champions, I will give them that much.	2019-03-13 23:50:00+00:00	Stormfront.org	0
"There is no ""White - Privilege"" or ""White - Supremacy"" but only JEWISH PRIVILEGE and JEWISH SUPREMACY in the JewSA !!!  Whites are as screwed as Blacks in this great country...and Trump only serves the 1% that is 99% jewish..."	2019-02-02 15:09:00+00:00	Stormfront.org	0
Know More News Adam Green Debates Infowars Owen Shroyer over Zionism    Wow, such an impressive debate and we're impressed with both guys. Both performed fantastic, both were fair and had good arguments.    We don't wanna pick a side, we don't pick sides here when nationalists debate each other, maybe we would have picked a side if one of them debated some crazy leftist but when there's a right-wing infighting, we can't pick a side, we wish they would just both concede some ground and shook hands. You watch the debate and make up your own mind.	2019-01-10 21:57:00+00:00	Stormfront.org	0
I don't believe (or rather, subscribe to) that. All races are in competition. Muds have a huge advantage over us as they can breed with white and the children will still be muds.     As long as they exist, the white race is in mortal danger.	2019-09-29 05:23:00+00:00	Stormfront.org	0
Nature has a mind of its own.  And there have been several hot and cold periods in earth's history.  Nature couldn't care less if there are dinosaurs here or 7 billion humans in the grand scheme of things.    There have been many ice ages during the last  2.6 million years  but when people talk about the Ice Age, they are often referring to the most recent glacial period, which peaked about  21,000 years  ago and ended about  11,500 years  ago.   BBC Earth - Ice ages have come and gone over the last 2.6m years	2018-11-08 00:19:00+00:00	Stormfront.org	0
"This is hate speech. I denounce their intolerance. :  USA TODAY  Attacks Trump's National Security Team as ""Too White""Thus Illegitimate in Our Enlightened Age of Diversity, Inclusion, and Equity  | Blog Posts | VDARE.com"	2020-01-27 23:09:00+00:00	Stormfront.org	0
By saying WE WILL NEVER FORGET, no matter how much time passes by, sends a message to the Jew-owned and operated media, ZOG and this establishment.	2019-01-06 22:18:00+00:00	Stormfront.org	0
The remaining white Americans need to organise and finally stand up for themselves. They've been far to timid and patient when it comes to all the anti-White bs that seems to be standard behaviour over there now. They are already in a very bad position and it only will get worse as they'll become more and more outnumbered.	2019-01-25 08:19:00+00:00	Stormfront.org	0
In growing up we were taught that  we  (the  individual ) can  make a  difference  and  change  or improve our country.  All we had to do was exercise our democratic right to vote.   Apparently that advice was BS.   Why?  Because  millions  are fleeing their countries and realize  they have no power to change anything!	2020-03-15 18:08:00+00:00	Stormfront.org	0
They did, which was sensible (still not enough, but it was something) but they've since foolishly thrown it out the window in the pursuit of maximum growth, a short term policy which means they need to find ever more energy and agricultural land to keep their country functioning.      I mean how can anyone think their population is under control when it's over one billion, and they need to buy up millions of acres of land in Africa etc. to feed themselves?	2018-08-27 18:52:00+00:00	Stormfront.org	0
Yes! And get either community service or 2 months in jail!     So, people will go to jail for up to 6 years for posting their god damn opinion online or downloading movie/music, but actual criminals that murder and rape will get less than that?     Alright. Then I guess screw typing what we think online when you can actually do a crime in person and get away with it or get little time as possible. Good to know	2018-05-19 05:46:00+00:00	Stormfront.org	0
The Pyramids were originally covered in polished limestone, shining white glassy stones...They looked like this...and shone for miles around...      With the golden capstone symbolising the elite royal golden haired root race and or acting as a super conductor.	2018-01-19 07:19:00+00:00	Stormfront.org	0
Sadly another carpet bagger yankee has yet again pissed down the back of Southern folks and told us it's raining.      Let us remember that by an act of Congress, Confederate veterans are veterans of the U.S..  In effect, this scum belly has just dismantled a memorial to American veterans.  Only a fool wouldn't grasp the significance of it, wonder why there isn't more outrage, and then ponder which one's they mean to dismantle next.    Also, it is NOT the memorials and monuments they hate my dear friends, it is US.  Do no fool yourselves into thinking it is any thing else and simply ask yourself, if we do not fight back and stop this now, when will they be coming for me, my wife, and my children?      Y'all have a nice day.	2019-01-16 18:00:00+00:00	Stormfront.org	0
Why aren't you an Esoteric Hitlerist? You do realise that Luther was EH, _right?_ His whole goal was to subvert Christianity in order to make it collapse five hundred years later and make way for the Hitlerian faith.	2017-06-26 22:02:31+00:00	Iron March Posts	0
"Oh , I only saw this now . . .         A man with a user name ""SiegFuhrerSS"" says that ?      Are you sure you are on the right forum ?"	2018-04-01 05:20:00+00:00	Stormfront.org	0
This is not much of a problem.   There are many ways to do it ...   ~ Population Trade-Offs - The whites move to USA and Europe, in exchange for taking in the mixed ubermensch.   ~ You give Brazil favorable trade deals.   ~ You give Brazil write-offs on foreign loans. The more people they take in, the more their external debt is cleared.   ~ You get the idea ...     You can pay for their deportation through taxation. A few million couples being deported, is a fair trade off. Cut down on welfare, military and bloated bureaucracy, and you'll get all the resources you need.     The bigger question is to get this subject to the mainstream.     - RandomWN	2020-07-26 15:12:00+00:00	Stormfront.org	0
He got replaced by a Akmetov puppet.    Akmetov (probably a Jew who converted to Islam) is an Ukrainian Oligarch who has major assists in Donbass. He also controlled the electricity company supplying electricity to Krim. His company shut down electricity in Krim after they voted for leaving Ukraine and become a Russian state. The Krim then appropriated (nationalized) his company.    Akmetov might have feared to lose his assets in Donbass, killed the popular leader and replaced him with a puppet who will start negotiations with Kiev in appropiate time. Most likely for more independence as a part of Ukraine.	2018-09-10 18:27:00+00:00	Stormfront.org	0
Another example of the enormous windrush contribution to British society.........well to the security guard industry at least.	2019-08-15 22:36:00+00:00	Stormfront.org	0
"Getting +5 articles a day is pretty cool though, and as he got invited around as a talking head expert on extremism-nazism. Basically every single article has been about how super dangerous SVL is and how we're gonna car bomb him or something, we're training 24/7 on camps for the race war, have effective and far reaching international nazi connections (NA & Ben were namedropped) and I quote, ""Saluting the swastika and planning terrorist attacks"".  Simultaneously they're broadcasting German History X (yeah, it's literally called that) about NSU on the state channels and the head of broadcasting told to take the series as a warning example. ZOGgotry hitting maximum. Leftwing reaction has been extremely delicious, one blogger told that if SVL isn't stopped RIGHT NOW the next Holocaust is on all of us.  Dude was cuck as fuck, even in the linked text he whines how he was never given any power and spent his days depressed in Sweden/USA. All this really reminds me of that Anatomy of Treason thread we had. The treasonous types are always the same, no-fun arseburgers who don't -really- get it. Only women to ever show interest were both non-white and that really made him question his ""hate"" in his book. Could you imagine anyone in IM telling they stopped being NS after they got blown by a raghead (not that he did, lel). We truly need to gas the spergs.    *[NA]: National Action"	2016-05-19 20:20:00+00:00	Iron March Posts	0
"Why should this mud shark be surprised? It may be interesting to know that Gov. Jerry ""Moonbeam"" Brown of California just signed legislation reducing the criminal penalty for the knowingly intentionally transmitting of AIDS, from a Felony to a MISDEMEANOR! California is just unreal, no wonder everyone is leaving."	2018-02-02 19:11:00+00:00	Stormfront.org	0
Separatism not hate or supremacy, I don't hate other races and ethnicities of people.    I just want white Europeans to have their own separate enclosed independent territories, governments, and nations. I want to revert the current white European population decline globally and bring back family social stability.    Probably the only singular people on this earth that I truly do hate and show apathy towards is Jews. [I also hate self hating white Europeans.]    All other peoples that are not white or European I don't have any personal animosity towards and vendetta against. For me separatism is a matter of existential survival concerning the white European race and is non-negotiable.     I wish no ill will towards Asians, Middle Easterners, Latin Americans, Africans, or Native Indigineous Groups around the world that aren't white and European. I just want to see a fair, safe, and prosperous future for white Europeans around the world.    In a future where white Europeans are collectivelly, existentially, and socially prosperous again I would have no problems having peaceful or friendly relations with the rest of the world in coexistence. There however can be no peace or coexistence when the very survival and existence of white Europeans is at stake. All of that of course puts us white Europeans in a very difficult position.	2019-04-19 15:32:00+00:00	Stormfront.org	0
Seen on the signboard at the local Methodist church:                   Does your life stink?               We have a pew for you!	2019-01-16 22:10:00+00:00	Stormfront.org	0
As the title of this topic suggests, I was wondering about an ideal diet for a Fascist. I get the general notion to steer clear of the processed toxic shit that modern society gorges themselves on, which is unavoidable considering everything now of days contains either Artificial Flavors&Colors or GeneticallyModifiedSomethings. [Hell I'm surprised the tap water in America doesn't consist of Sugar suspended in Corn Syrup]  You get what I'm trying to say...  What should a Fasher eat and avoid to maintain a healthy lifestyle of gassing shills, and how to procure actual food in an age where food is basically brightly colored Plastic coated in sugar-syrup  **Shout out to the guy browsing this who has his hands half-way down a Cheetos bag**  **You fucking know who you are...**	2016-05-25 04:35:34+00:00	Iron March Posts	0
Oh right! Now I remember that cruel joke 'Shock n' awe' mocking the Holy Spirit of God.     Thank you for reminding me.  What else? They blasphemed the Holy Spirit.  Let's see them get out of that.  How much teshuvah do they have? A mustard seed would be a start.     Shekinah is feminine.  It comes with kindness, love and healing.  With Shekinah comes a thousand years of peace at least.  Maybe more.       How might we help them? They're like Children running into traffic. We can only shout the warning, praying they stop.	2020-03-11 11:57:00+00:00	Stormfront.org	0
I brew my own alcohol. I can make 32, 700 - 745ml bottles (beer) for about $14NZD. When I use my own pears, apples or feijoas I can made a cider for less than $3 NZD for about 27, 700 - 745ml bottles. It is much much cheaper than buying from the store, plus they are not as refined as store brought goods. When I made my ciders, it through natural yeast.	2018-03-01 15:57:00+00:00	Stormfront.org	0
Luckily for them , the red leftovers in government will make sure that happens , same goes with the clown for a president who praised reds and scolded the nationalist movement of WWII.	2018-07-26 03:50:00+00:00	Stormfront.org	0
The Church of the Ku Klux Klan will be updating it's website within a few days. The new updates will be including a new educational program to help Youth and young adults to learn the Racialist message on a platform that can help parents with busy lives keep their kids focus on a Pro-White platform. This educational program will be free. Our goal is to help White Youth to become future leaders for the White Racialist Movement.     What our educational program includes:    1. White Power Book Club. The Book Club will be a free audio book selection provided on our website. These books will include Racialist Books, Historical, Military Strategy, Survival, Religious, Poetry and much more. We will also list store's that sell the books for a hard copy.     After someone completes reading one of the selected books we can provide a test for kids to take to see what they been learning. This will allow us to help see where they are at and find the difficulties or issues they are having. This will allow us to help parents to help their kids learn more and become more Racially aware.     2. Christian Identity Bible Study Course. The Bible Study Course is a great way for children or adults to learn the Holy Bible and fully understand their Biblical Identity of who they are in the Bible.     3. Educational Pro-White Radio. Will have speeches and sermons of pro-White leaders to motivate the Youth and adults to become more active in the Racialist Movement.    So any Youth that is 14 or older interested in getting involved in the Klan Youth Action Corps please visit our website at  Ku Klux Klan - KKK      Note: All youth between 14 to 17 will need their parents permission to join the K.Y.A.C.     Yahweh Bless and Hail Victory   Ku Klux Klan - KKK	2020-07-14 01:47:00+00:00	Stormfront.org	0
2 minutes ago, DivisionWiking565 said: Will god also guide me towards the right kind of christianity? (Chatolic,orthodox, protestant)  Yes he will. He will always guide you to the ultimately right thing. 3 minutes ago, DivisionWiking565 said: Sorry for no multi quotes, my phone is working against me right now. Thank you for praying for me, god bless you. Best regards  No problem, God bless you too always friend.      Best regards to you as well, and feel free to pm if you have troubles or want any kind of help.	2016-09-12 15:47:19+00:00	Iron March Messages	0
Nazi-Allied Fighters Heirs Seeking Restitution from Serbia    Descendants of fighters allied with the Nazis and the collaborationist World War II regime in Serbia have been asking for the restitution of property confiscated after the war, the national restitution agency said.     Nazi-Allied Fighters Heirs Seeking Restitution from Serbia :: Balkan Insight	2018-12-17 23:55:00+00:00	Stormfront.org	0
This is true despite jdisch geneticists frantically trying to configure their research and findings to suggest another conclusion.      However, they were close enough to the middle east to have caused issues; there are reports of Egyptians being attacked by a group of Nomads called Habiru from which the word Hebrew is derived.    In that region Neanderthals were dominant; it appears that modern juden have neanderthal genes switched on more than modern humans.  This might account for their genetic traits that others find repulsive.	2020-07-20 20:30:00+00:00	Stormfront.org	0
If you refer to the original article instead of a spin off it reads much differently.     Senators, White House lay groundwork for Dreamers deal - POLITICO    They are still at the bickering, rattle throwing stage.	2017-12-28 21:25:00+00:00	Stormfront.org	0
@LordFlint Volunteers ---   Great post!  And you are 100% CORRECT --- getting older is NOT for the faint-hearted!!   -------------------------------------------  Life was good then.  I agree..  Life was better then..  Getting Older is not for the Faint Hearted ..    As for the White Race..  It is Sort of Inevitable that it will get worse.  But it is also Inevitable that eventually our Race will Recover.  Even if only a Smaller Number are Left..  And THEY will REGROUP.  And rise again..    A certain TRIBE were scattered..  Without a Homeland..  And now They have their own Country.  Armed with NUKES..  And protected by TPTB..    They had a Destiny ..  And worked towards that Goal..    Way too many of our Folk remain uneducated about Jewish Religious Faith..  Not yourself obviously as you gave me pointers..  But too many forget that THEY have a END GOAL..  To Lord over us.  Even those who are aware of other things forget the importance of THEIR Religion in everything..	2018-12-21 15:51:00+00:00	Stormfront.org	0
I'm looking for a source of information that I had found extremely useful. It's called The Holocaust Debunked.pdf or something extremely similar. I like it because it's a lot of information in a single file. My only problem is that I can't find it anymore and I'm not actually sure where I found it in the first place. If anybody knows what I'm talking about please let me know.	2020-06-14 16:07:00+00:00	Stormfront.org	0
I was at a worksite for a company that has been extremely diversity friendly, hiring 100% of the somalis that apply there, even if they fired that same somali before.    But something has changed!    Lately some white men have gotten hired, and I won't say where because the US federal government would swoop in like vultures and make an example of them so that no one in the area would dare to hire a white man.     The more that normal every day folks get exposed to diversity, the less they like diversity!	2018-01-04 12:02:00+00:00	Stormfront.org	0
